scenario,rows,gemm_speedup,end_to_end_speedup,timing_integrity,max_abs_error,peak_gemm_bytes
smoke_mixed_4_8_16,1,0.4500677712847759,0.34559333681044324,True,0.015625,8719360
smoke_mixed_4_8_16,8,0.4450184593466944,0.3492615094735034,True,0.027862548828125,8770048
smoke_mixed_4_8_16,32,0.18730443058095378,0.15829240721237034,True,212.1650848388672,8835072
smoke_mixed_4_8_16,128,0.1886323250980763,0.15780089036098435,True,266.18609619140625,9095168
qwen_qkv_mixed_4_8_16,1,1.2846715855682385,1.0466845172468104,True,0.125,48700416
qwen_qkv_mixed_4_8_16,16,0.28379796878238084,0.2857142811770255,True,0.125,58108928
qwen_qkv_mixed_4_8_16,128,0.5040196838467231,0.49095269589623136,True,818.567138671875,64390144
qwen_qkv_pure_int4,1,1.2947242388511668,0.8636063024999001,True,0.062103271484375,47764992
qwen_qkv_pure_int4,16,0.579719403427882,0.5749525410606989,True,0.11767578125,61416960
qwen_qkv_pure_int4,128,0.6011560557501543,0.7915015003862544,False,877.4457397460938,67444224
qwen_qkv_pure_int8,1,1.2747510323818285,0.9594356245331367,True,0.062286376953125,47564288
qwen_qkv_pure_int4,16,0.5785884288747072,0.5788638832184704,True,0.062530517578125,48371200
qwen_qkv_pure_int8,128,0.8561185952842406,0.8136275678119482,True,0.091766357421875,54398464
qwen_qkv_pure_fp16,1,0.9701691702238014,0.969018649575393,True,0.125,60012032
qwen_qkv_pure_fp16,16,0.34768922778225786,0.35819575290921607,True,0.0,60873216
qwen_qkv_pure_fp16,128,0.1466237455086191,0.14267003506679382,True,0.0,67308032
