scenario,rows,gemm_speedup,end_to_end_speedup,timing_integrity,max_abs_error,peak_gemm_bytes
smoke_mixed_4_8_16,1,0.39522307900464604,0.30793539930565017,True,0.015625,8719360
smoke_mixed_4_8_16,8,0.2815551135920477,0.27300111912609093,True,0.027862548828125,8770048
smoke_mixed_4_8_16,32,0.21985988917384622,0.1873747485444585,True,191.2983856201172,8835072
smoke_mixed_4_8_16,128,0.2569147145196112,0.17965526103618587,True,283.2770690917969,9095168
qwen_qkv_mixed_4_8_16,1,0.6931695520580947,0.5268937831678437,True,0.125,48700416
qwen_qkv_mixed_4_8_16,16,0.2709952942589064,0.28620762704563685,True,0.125,58108928
qwen_qkv_mixed_4_8_16,128,0.47868398503435916,0.47945899355025806,True,800.8734130859375,64390144
qwen_qkv_pure_int4,1,0.6510686358689228,0.5719129913181957,True,0.062103271484375,47764992
qwen_qkv_pure_int4,16,0.5438609495187602,0.5403291161050524,True,0.11767578125,61416960
qwen_qkv_pure_int4,128,0.6840601406671549,0.6611651802075211,True,826.4047241210938,67444224
qwen_qkv_pure_int8,1,1.250382310424138,0.9942249506420252,True,0.062286376953125,47564288
qwen_qkv_pure_int8,16,0.5483798748937713,0.5436311296661814,True,0.062530517578125,48371200
qwen_qkv_pure_int8,128,0.7390508201976598,0.711111113915455,True,0.091766357421875,54398464
qwen_qkv_pure_fp16,1,0.9684022813327059,0.9709950782794775,True,0.125,60012032
qwen_qkv_pure_fp16,16,0.35462235036596534,0.36183297899905453,True,0.0,60873216
qwen_qkv_pure_fp16,128,0.14915658326157843,0.14424120459669704,True,0.0,67308032
